yyyymm,Index,D12,E12,b/m,tbl,AAA,BAA,lty,ntis,Rfree,infl,ltr,corpr,svar,csp,CRSP_SPvw,CRSP_SPvwx
197204,107.67,3.0700,5.8633,0.6367838016,0.0371,0.0730,0.0824,0.0615,0.0324918322,0.002900,0.0024154589,0.0027,0.0035,0.0003833915,0.0020286355,0.005476,0.004658
197205,109.53,3.0700,5.9167,0.6324423349,0.0369,0.0730,0.0823,0.0597,0.0306570665,0.003000,0.0024096386,0.0270,0.0163,0.0007690517,0.0018280014,0.022019,0.016763
197206,107.14,3.0700,5.9700,0.6540154785,0.0391,0.0723,0.0820,0.0607,0.0341993895,0.002900,0.0024038462,-0.0065,-0.0068,0.0003653522,0.0015414101,-0.020156,-0.021378
197207,107.39,3.0733,6.0267,0.6570495491,0.0398,0.0721,0.0823,0.0593,0.0333250925,0.003100,0.0047961631,0.0216,0.0030,0.0005954870,0.0013485364,0.003245,0.002126
197208,111.09,3.0767,6.0833,0.6304670395,0.0402,0.0719,0.0819,0.0595,0.0318487846,0.002900,0.0023866348,0.0029,0.0072,0.0005949987,0.0010688822,0.039425,0.034649
197209,110.55,3.0800,6.1400,0.6373850011,0.0466,0.0722,0.0809,0.0606,0.0328697745,0.003400,0.0023809524,-0.0083,0.0031,0.0004657121,0.0008839673,-0.003277,-0.004516
197210,111.58,3.1033,6.2333,0.6358841259,0.0474,0.0721,0.0806,0.0591,0.0323534438,0.004000,0.0047505938,0.0234,0.0101,0.0008582678,0.0009085387,0.010878,0.009503
197211,116.67,3.1267,6.3267,0.5967334833,0.0478,0.0712,0.0799,0.0577,0.0309522498,0.003700,0.0023640662,0.0226,0.0249,0.0004884564,0.0004837741,0.050297,0.045173
197212,118.05,3.1500,6.4200,0.5956745946,0.0507,0.0708,0.0793,0.0599,0.0342034837,0.003700,0.0023584906,-0.0229,-0.0004,0.0005171710,0.0003114465,0.013663,0.012622
197301,116.03,3.1567,6.5467,0.6081960321,0.0541,0.0715,0.0790,0.0685,0.0356473121,0.004400,0.0023529412,-0.0321,-0.0054,0.0005156042,-0.0001203033,-0.016752,-0.018044
197302,111.68,3.1633,6.6733,0.6361837352,0.0560,0.0722,0.0797,0.0688,0.0362998670,0.004100,0.0070422535,0.0014,0.0023,0.0012645944,-0.0002073298,-0.033818,-0.038229
197303,111.52,3.1700,6.8000,0.6760181281,0.0609,0.0729,0.0803,0.0686,0.0367061493,0.004600,0.0093240093,0.0082,0.0045,0.0015575644,-0.0006958590,-0.001093,-0.002089
197304,106.97,3.1867,6.9433,0.6977198485,0.0626,0.0726,0.0809,0.0687,0.0378332368,0.005200,0.0069284065,0.0046,0.0061,0.0015175398,0.0001653627,-0.040064,-0.041236
197305,104.95,3.2033,7.0867,0.7132159617,0.0636,0.0729,0.0806,0.0703,0.0396022163,0.005100,0.0068807339,-0.0105,-0.0039,0.0030775217,-0.0000733602,-0.013950,-0.019002
